"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","434","Grs per capita PIN (base 1999-2001)","1961","Int. $","77.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2007","Int. $","118.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2006","Int. $","111.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2005","Int. $","100.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2004","Int. $","110.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2003","Int. $","107.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2002","Int. $","99.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2001","Int. $","107.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2000","Int. $","97.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1999","Int. $","95.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1998","Int. $","101.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1997","Int. $","98.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1996","Int. $","101.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1995","Int. $","93.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1994","Int. $","94.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1993","Int. $","87.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1992","Int. $","94.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1991","Int. $","83.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1990","Int. $","90.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1989","Int. $","76.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1988","Int. $","74.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1987","Int. $","84.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1986","Int. $","81.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1985","Int. $","98.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1984","Int. $","83.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1983","Int. $","79.00000","A "
